Run,Slug,Run flag,Run type,Prompt Plots Exist,Prompt JAPAN Exists,Prompt Summary Exists,Prompt BCM Exists,Prompt Ratecheck Exists,Prompt Postpan ROOT Exists,Prompt Postpan Overload ROOT Exists,Prompt Postpan Summary Exists,Agg ROOT File Exists,BMOD Cycle Check Exists,BMOD Cycles Plots Exists,BMOD Sens csv Exists,BMOD AD Plots Exists,BMOD Slopes Exists
5966,119,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5967,120,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5968,120,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5969,120,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5970,120,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5971,120,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5972,120,Suspicious,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6030,121,NeedCut,Production,1,1,1,1,0,1,1,1,0,0,0,0,1,0
6031,121,NeedCut,Production,1,1,1,1,0,1,1,1,0,0,1,1,1,1
6032,121,Good,Production,1,1,1,1,1,1,1,1,1,1,0,0,1,0
6033,121,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6034,121,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6035,121,Suspicious,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6036,121,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6076,121,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,0,1,0
6077,121,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6078,121,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6079,121,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6080,121,Good,Calibration,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6081,121,Good,Calibration,1,1,1,1,0,1,1,1,0,0,1,1,1,1
6082,121,Good,Calibration,1,1,1,1,0,1,1,1,0,0,1,1,1,1
6083,121,Good,Calibration,1,1,1,1,0,1,1,1,0,0,1,1,1,1
6084,121,Good,Calibration,1,1,1,1,0,1,1,1,0,0,1,0,1,0
6085,121,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6086,121,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6087,121,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6089,121,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6090,121,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6091,122,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6093,122,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6094,122,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6098,122,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6099,122,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6102,122,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6103,122,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6104,122,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6105,122,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6106,123,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6107,124,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6108,124,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6109,124,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6110,124,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6116,125,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6118,125,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6119,125,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6120,125,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6121,125,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6122,125,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6123,125,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6124,125,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6125,126,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6126,126,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6127,126,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6128,126,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6129,126,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6130,126,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6131,126,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6132,127,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6133,127,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6134,127,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6135,127,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6136,127,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6159,127,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6160,127,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6161,127,NeedCut,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6162,127,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6163,128,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6164,128,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6165,128,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6166,128,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6168,128,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6176,128,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6177,128,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6178,128,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6179,128,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6185,128,Good,Production,1,1,1,1,1,1,1,1,1,1,1,1,1,1
